Games before prediction,Accuracy,Euclidean Error
1,0.3466666666666667,0.696589527622
2,0.33444444444444443,0.715756712032
3,0.3455555555555555,0.691964427264
4,0.3155555555555556,0.727047218736
5,0.3077777777777778,0.731414009469
6,0.3355555555555556,0.698658965853
7,0.3144444444444444,0.73464030972
8,0.3322222222222222,0.712108243551
9,0.3155555555555556,0.733298522373
10,0.30000000000000004,0.762395814334
11,0.3488888888888889,0.709160499407
12,0.3566666666666667,0.686291098078
13,0.2877777777777778,0.760027392868
14,0.3144444444444444,0.741978945723
15,0.3188888888888889,0.733435306987
16,0.33333333333333337,0.707702275816
17,0.33333333333333337,0.713225411262
18,0.3277777777777777,0.716867954088
19,0.3255555555555556,0.722185189889
20,0.32666666666666666,0.72517339377
21,0.3144444444444444,0.735063403271
22,0.3177777777777778,0.725027970464
23,0.3244444444444444,0.709817114669
24,0.33333333333333337,0.72087453912
25,0.3622222222222222,0.68126254866
26,0.3144444444444444,0.732828538808
27,0.3244444444444444,0.723047037326
28,0.29333333333333333,0.754706699899
29,0.3188888888888889,0.719848616784
30,0.3177777777777778,0.715758442405
31,0.3422222222222222,0.701189708373
32,0.3288888888888889,0.724927708399
33,0.31000000000000005,0.728973081625
34,0.33777777777777773,0.696608894994
35,0.3244444444444444,0.739744683071
36,0.28222222222222226,0.776350317259
37,0.2844444444444445,0.744854001834
