Games before prediction,Accuracy,Euclidean Error
0,0.2649249249249249,0.735090982875
1,0.26462962962962966,0.735386701753
2,0.2642539682539683,0.747550741405
3,0.2631045751633987,0.746887081415
4,0.26350168350168346,0.745025890286
5,0.2644444444444445,0.741718476849
6,0.26508960573476703,0.738499333182
7,0.27314814814814814,0.73431565902
8,0.2796551724137931,0.729308309489
9,0.296984126984127,0.711268282695
10,0.29695473251028803,0.71671989174
11,0.30320512820512824,0.710406001819
12,0.3115555555555556,0.705088434421
13,0.32212962962962965,0.69522067763
14,0.32164251207729466,0.69596074245
15,0.3161616161616162,0.689007568118
16,0.343015873015873,0.680194843278
17,0.35744444444444445,0.666834938848
18,0.3954970760233918,0.65189857212
19,0.2716049382716049,0.735691829099
20,0.3504575163398693,0.661048628959
21,0.38736111111111116,0.650603219083
22,0.3621481481481481,0.618010749969
23,0.4884126984126984,0.591404208098
24,0.37880341880341883,0.608351710428
25,0.40694444444444444,0.630149326242
26,0.38363636363636366,0.592310484305
27,0.4993333333333333,0.553061622666
28,0.48271604938271606,0.533078686356
29,0.25583333333333336,0.744559997712
30,0.40682539682539687,0.621037332293
31,0.7594444444444445,0.326842582688
32,0.8602222222222222,0.311194003351
33,0.9316666666666666,0.232570312854
34,0.9981481481481481,0.0543925026029
35,0.8161111111111111,0.363732657207
