Games before prediction,Accuracy,Euclidean Error
0,0.296006006006006,0.712509562517
1,0.3142283950617284,0.689584701812
2,0.31898412698412704,0.684928275458
3,0.3244444444444444,0.678063357697
4,0.3330976430976431,0.673260361725
5,0.3270833333333333,0.673715164989
6,0.34756272401433697,0.662471197785
7,0.3385555555555556,0.669414602774
8,0.36260536398467436,0.652933575467
9,0.35809523809523813,0.654507288148
10,0.37514403292181075,0.648384069657
11,0.3517094017094017,0.653659238905
12,0.3540888888888889,0.65715977072
13,0.36037037037037034,0.650215753946
14,0.36318840579710143,0.648123871666
15,0.36803030303030304,0.651048485146
16,0.35619047619047617,0.652560393239
17,0.35550000000000004,0.65933326147
18,0.36777777777777776,0.650723102526
19,0.3598765432098765,0.655669396215
20,0.347843137254902,0.659442424648
21,0.3695138888888889,0.651329899732
22,0.3407407407407408,0.666941841135
23,0.33531746031746035,0.662481337973
24,0.3408547008547008,0.664048332492
25,0.3446296296296296,0.661450888423
26,0.3328282828282828,0.665540943872
27,0.32433333333333336,0.679557331224
28,0.3441975308641976,0.659065254387
29,0.33013888888888887,0.66626786332
30,0.330952380952381,0.662242551992
31,0.3253703703703704,0.668996422964
32,0.28600000000000003,0.705562526843
33,0.3552777777777778,0.655814572679
34,0.3277777777777777,0.664591766502
35,0.3188888888888889,0.669540134456
36,0.3077777777777778,0.679777971316
